Sample ID,Cook Time,Cook time(secs),Number of popped kernels,Number of uncooked kernels,Number of Burnt Kernels,Total Kernels,Percent Popped,Percent Uncooked,Percent Burnt,edible/uncooked,edible,burnt
,,0,0,150,0,,,,,uncooked,0,0
,,5,0,150,0,,,,,uncooked,0,0
,,10,0,160,,,,,,uncooked,0,0
,,15,0,155,,,,,,uncooked,0,0
,,20,0,140,,,,,,uncooked,0,0
,,25,0,132,,,,,,uncooked,0,0
22,D,30,0,100,0,,,,,uncooked,0,0
,,35,0,200,,,,,,uncooked,0,0
,,40,4,160,,,,,,uncooked,0,0
,,42,,,,,,,,,0,0
,,50,10,,,,,,,uncooked,0,0
,,55,5,,,,,,,uncooked,0,0
23,C,60,150,15,0,,,,,cooked,1,0
,,65,,,,,,,,,1,0
,,67,,,,,,,,,1,0
,,70,,,,,,,,,1,0
37,0:01,72,160,10,0,170,94.12,5.88,0,cooked,1,0
13,0:01,72,144,3,0,147,97.96,2.04,0,cooked,1,0
,,75,,,,,,,,,1,0
18,0:01,77,145,10,0,155,93.55,6.45,0,cooked,1,0
,,80,,,,,,,,,1,0
,,85,,,,,,,,,1,0
,,87,,,,,,,,,1,0
0,0:00,90,88,2,60,0,0,0,0,cooked,1,0
6,0:01,100,135,27,0,162,83.33,16.67,0,cooked,1,1
17,0:01,102,146,14,0,160,91.25,8.75,0,cooked,1,1
16,0:01,103,138,19,157,314,43.95,6.05,50,cooked,1,1
12,0:01,105,135,26,0,161,83.85,16.15,0,cooked,1,1
7,0:01,110,153,15,1,169,90.53,8.88,0.59,cooked,1,1
21,0:01,112,140,7,5,152,92.11,4.61,3.29,cooked,1,1
22,0:01,113,143,11,0,154,92.86,7.14,0,cooked,1,1
23,0:01,114,178,7,0,185,96.22,3.78,0,cooked,1,1
24,0:01,116,124,14,0,138,89.86,10.14,0,cooked,1,1
25,0:01,117,148,15,0,163,90.8,9.2,0,cooked,1,1
26,0:01,118,150,8,0,158,94.94,5.06,0,cooked,1,1
27,0:01,119,101,10,0,111,90.99,9.01,0,cooked,1,1
20,0:02,120,140,5,0,160,87.5,12.5,0,cooked,1,1
28,0:02,121,144,0,2,146,98.63,0,1.37,cooked,1,1
29,0:02,122,151,1,4,156,96.79,0.64,2.56,cooked,1,1
31,0:02,124,156,7,0,163,95.71,4.29,0,cooked,1,1
14,0:02,125,139,1,5,145,95.86,0.69,3.45,cooked,1,1
32,0:02,126,153,5,0,158,96.84,3.16,0,cooked,1,1
33,0:02,127,152,4,0,156,97.44,2.56,0,cooked,1,1
34,0:02,128,117,2,17,136,86.03,1.47,12.5,cooked,1,1
35,0:02,129,151,3,0,154,98.05,1.95,0,cooked,1,1
9,0:02,130,160,7,0,167,95.81,4.19,0,cooked,1,1
36,0:02,131,124,10,15,149,83.22,6.71,10.07,cooked,1,1
30,0:02,132,135,7,15,157,85.99,4.46,9.55,cooked,1,1
38,0:02,133,156,5,0,161,96.89,3.11,0,cooked,1,1
39,0:02,134,134,6,16,156,85.9,3.85,10.26,cooked,1,1
41,0:02,137,159,1,11,171,92.98,0.58,6.43,cooked,1,1
40,0:02,138,137,7,5,149,91.95,4.7,3.36,cooked,1,1
42,0:02,138,152,3,4,159,95.6,1.89,2.52,cooked,1,1
10,0:02,140,80,83,0,163,49.08,50.92,0,uncooked,0,1
45,0:02,143,189,10,12,211,89.57,4.74,5.69,cooked,1,1
1,0:02,150,97,11,11,119,81.51,9.24,9.24,cooked,1,1
15,0:02,155,162,2,0,164,98.78,1.22,0,cooked,1,1
43,0:04,273,138,1,19,158,87.34,0.63,12.03,cooked,1,1